#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000714658   7.43295612e+00  -4.49164195e+01  -3.05670283e+02  -5.82028451e+01   1.04200000e+04   1.03429133e+04   4.98693998e+00           galaxy
  10430000714659   7.43299511e+00  -4.49163890e+01  -3.04349334e+02  -5.78074864e+01   7.11000000e+02   6.87569490e+02   7.93025570e+00           galaxy
  10430000714660   7.43582375e+00  -4.49171822e+01  -2.62388838e+02  -1.18410412e+02   1.35900000e+03   1.32828004e+03   7.21532308e+00           galaxy
  10430000714661   7.43359494e+00  -4.49195196e+01  -3.48434845e+02  -1.58501301e+02   5.70500000e+03   5.64679672e+03   5.64404181e+00           galaxy
  10430000715387   7.53684535e+00  -4.47975259e+01   3.88639503e+03   2.10117224e+03   2.25000000e+02   2.10147309e+02   9.21723761e+00           galaxy
  10430000715966   7.44940832e+00  -4.47955488e+01   2.18334511e+03   3.30970167e+03   2.31000000e+02   2.16027121e+02   9.18727650e+00           galaxy
  10430000716469   7.40933855e+00  -4.48235176e+01   8.86259796e+02   3.00655140e+03   2.40000000e+01   3.30189384e+01   1.12266394e+01           galaxy
  10430000716470   7.40941665e+00  -4.48235978e+01   8.86379913e+02   3.00314908e+03   2.50000000e+01   2.36328441e+01   1.15897572e+01           galaxy
  10430000716762   7.49342367e+00  -4.48370434e+01   2.31564413e+03   1.50125007e+03   1.09000000e+02   9.61537182e+01   1.00661320e+01           galaxy
  10430000716809   7.41541450e+00  -4.48392334e+01   7.26103074e+02   2.46074294e+03   8.45000000e+02   8.19946396e+02   7.73908354e+00           galaxy
  10430000716812   7.41312980e+00  -4.47699806e+01   1.91879298e+03   4.54450506e+03   4.70000000e+02   4.50338929e+02   8.38969846e+00           galaxy
  10430000716854   7.44402505e+00  -4.49240066e+01  -2.21678452e+02  -4.28271988e+02   6.10000000e+02   5.88776646e+02   8.09867075e+00           galaxy
  10430000716986   7.41355557e+00  -4.48720123e+01   1.03116457e+02   1.51303061e+03   2.32000000e+02   2.16459540e+02   9.18510536e+00           galaxy
  10430000717104   7.55562485e+00  -4.48602931e+01   3.13437771e+03  -5.47513060e+00   2.57300000e+03   2.53270154e+03   6.51458716e+00           galaxy
  10430000717105   7.55551335e+00  -4.48607494e+01   3.12398483e+03  -1.75248564e+01   2.80000000e+01   3.70354512e+01   1.11020031e+01           galaxy
  10430000717106   7.55375079e+00  -4.48615278e+01   3.07504194e+03  -1.74034870e+01   2.09000000e+02   1.94106501e+02   9.30344699e+00           galaxy
  10430000717107   7.55417337e+00  -4.48618964e+01   3.07682259e+03  -3.38810097e+01   2.30000000e+01   2.19385322e+01   1.16705283e+01           galaxy
  10430000717108   7.55438014e+00  -4.48619318e+01   3.08029248e+03  -3.76491539e+01   1.93440000e+04   1.92408336e+04   4.31298748e+00           galaxy
  10430000717109   7.55527155e+00  -4.48616116e+01   3.10372820e+03  -3.98867936e+01   1.00000000e+01   8.84900128e+00   1.26563115e+01           galaxy
  10430000717110   7.55443215e+00  -4.48622448e+01   3.07571458e+03  -4.76043382e+01   3.40000000e+01   4.47216640e+01   1.08972523e+01           galaxy
  10430000717111   7.55402254e+00  -4.48625041e+01   3.06293602e+03  -4.98977228e+01   2.04000000e+02   1.89314792e+02   9.33058582e+00           galaxy
  10430000717483   7.46385702e+00  -4.47852161e+01   2.65561674e+03   3.42612458e+03   4.10000000e+01   2.86149721e+01   1.13820639e+01           galaxy
  10430000717484   7.46432264e+00  -4.47861487e+01   2.64818841e+03   3.39235652e+03   3.60000000e+01   2.61734521e+01   1.14788947e+01           galaxy
  10430000717485   7.46460537e+00  -4.47871588e+01   2.63573435e+03   3.35869370e+03   2.60000000e+01   3.48468437e+01   1.11681386e+01           galaxy
  10430000717486   7.46431160e+00  -4.47870952e+01   2.63103020e+03   3.36444208e+03   2.14470000e+04   2.13384652e+04   4.20063924e+00           galaxy
  10430000717488   7.46768068e+00  -4.47868988e+01   2.70155599e+03   3.32597296e+03   3.12600000e+03   3.08179212e+03   6.30153884e+00           galaxy
  10430000717625   7.47063260e+00  -4.47675455e+01   3.10664999e+03   3.86085331e+03   4.17000000e+02   3.98735295e+02   8.52183549e+00           galaxy
  10430000719527   7.47935634e+00  -4.48552527e+01   1.71017142e+03   1.14635488e+03   9.69000000e+02   9.42389412e+02   7.58797120e+00           galaxy
  10430000720351   7.37047277e+00  -4.48141511e+01   2.80571796e+02   3.79428655e+03   3.29000000e+03   3.24520592e+03   6.24544154e+00           galaxy
  10430000721237   7.51653677e+00  -4.48570022e+01   2.41728666e+03   6.05983047e+02   2.34000000e+02   2.19079361e+02   9.17204353e+00           galaxy
  10430000721239   7.51678804e+00  -4.48575557e+01   2.41236022e+03   5.86277247e+02   2.03000000e+02   1.88613353e+02   9.33461610e+00           galaxy
  10430000721240   7.51487733e+00  -4.48574056e+01   2.37710651e+03   6.15838782e+02   2.32000000e+02   2.16252451e+02   9.18614460e+00           galaxy
  10430000721241   7.51590959e+00  -4.48576631e+01   2.39299363e+03   5.94642634e+02   4.12700000e+03   4.07710190e+03   5.99766827e+00           galaxy
  10430000721256   7.41943465e+00  -4.47676748e+01   2.08550851e+03   4.53005014e+03   8.10000000e+01   6.84211046e+01   1.04355720e+01           galaxy
  10430000721325   7.46060209e+00  -4.48950789e+01   6.24935769e+02   2.11960116e+02   3.36500000e+03   3.32010401e+03   6.22066797e+00           galaxy
  10430000721566   7.43791401e+00  -4.47959984e+01   1.94667763e+03   3.44739483e+03   2.58000000e+02   2.42435726e+02   9.06205565e+00           galaxy
  10430000721637   7.40900124e+00  -4.48972848e+01  -4.39163785e+02   8.23232462e+02   1.20000000e+02   1.07271292e+02   9.94733841e+00           galaxy
  10430000721647   7.46738631e+00  -4.47592052e+01   3.19132562e+03   4.15078567e+03   3.15000000e+02   2.97894921e+02   8.83838945e+00           galaxy
  10430000722050   7.56133394e+00  -4.48660128e+01   3.14515579e+03  -2.50005893e+02   1.23500000e+03   1.20631578e+03   7.31989467e+00           galaxy
  10430000722065   7.49599460e+00  -4.48054790e+01   2.93193622e+03   2.40295114e+03   8.53000000e+02   8.28289632e+02   7.72809163e+00           galaxy
  10430000722276   7.50137484e+00  -4.48469990e+01   2.29532641e+03   1.10169712e+03   2.79000000e+02   2.62437241e+02   8.97598353e+00           galaxy
  10430000722277   7.50274258e+00  -4.48466200e+01   2.32928281e+03   1.09495522e+03   2.20000000e+01   2.09979523e+01   1.17181048e+01           galaxy
  10430000722587   7.59954320e+00  -4.48282579e+01   4.58082110e+03   3.65297256e+02   4.31000000e+02   4.11781538e+02   8.48688001e+00           galaxy
  10430000722663   7.47595742e+00  -4.48748655e+01   1.29159014e+03   6.09630798e+02   2.77000000e+02   2.61120875e+02   8.98144321e+00           galaxy
  10430000722952   7.47941879e+00  -4.48819706e+01   1.23313602e+03   3.53575766e+02   1.95000000e+02   1.80714352e+02   9.38106558e+00           galaxy
  10430000723591   7.38838975e+00  -4.48083651e+01   7.40405534e+02   3.73087413e+03   6.25600000e+03   6.19583211e+03   5.54329809e+00           galaxy
  10430000723706   7.50024922e+00  -4.48999467e+01   1.32477504e+03  -4.52708646e+02   1.20000000e+01   1.07542701e+01   1.24445948e+01           galaxy
  10430000723707   7.49852047e+00  -4.48990602e+01   1.30634103e+03  -4.03738056e+02   5.47500000e+03   5.41783780e+03   5.68898219e+00           galaxy
  10430000723758   7.38628019e+00  -4.48200805e+01   4.89095605e+02   3.41104735e+03   2.26000000e+02   2.11245968e+02   9.21157612e+00           galaxy
  10430000723797   7.38143319e+00  -4.47824787e+01   1.06451964e+03   4.59003013e+03   2.27000000e+02   2.11786446e+02   9.20880179e+00           galaxy
  10430000723975   7.44455136e+00  -4.49160770e+01  -6.93815081e+01  -2.00062017e+02   7.61000000e+02   7.37047322e+02   7.85480876e+00           galaxy
  10430000724367   7.38451600e+00  -4.48184615e+01   4.82933082e+02   3.48221514e+03   1.87000000e+02   1.72538006e+02   9.43133525e+00           galaxy
  10430000725253   7.39417064e+00  -4.48761040e+01  -3.55192653e+02   1.64582770e+03   3.60000000e+01   2.64894675e+01   1.14658641e+01           galaxy
  10430000725254   7.39512467e+00  -4.48756314e+01  -3.27790114e+02   1.64733892e+03   2.70000000e+01   2.55969636e+01   1.15030761e+01           galaxy
  10430000725602   7.52082166e+00  -4.48036028e+01   3.45903394e+03   2.13198599e+03   1.71100000e+03   1.67724714e+03   6.96205454e+00           galaxy
  10430000725811   7.44354485e+00  -4.48555240e+01   9.93849042e+02   1.60851395e+03   7.70000000e+01   6.40375994e+01   1.05074596e+01           galaxy
  10430000726385   7.46250671e+00  -4.47876442e+01   2.58530587e+03   3.37189373e+03   1.02000000e+02   8.88408681e+01   1.01520152e+01           galaxy
  10430000726386   7.46251164e+00  -4.47876354e+01   2.58556219e+03   3.37209122e+03   4.80200000e+03   4.74897453e+03   5.83204759e+00           galaxy
  10430000726416   7.45082066e+00  -4.48962350e+01   4.10048775e+02   3.06010650e+02   1.50000000e+01   1.44427539e+01   1.21244222e+01           galaxy
  10430000726417   7.44429987e+00  -4.48955385e+01   2.93037478e+02   4.12195546e+02   2.90000000e+02   2.73888637e+02   8.92961216e+00           galaxy
